DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
WSJ,1823043,RC WSJ Inserts - Newspaper Patriot News Dec-20 2 bottles ...,11/22/20,03/10/21,18
4S,1967004,RC 4S Inserts - Statements EveryPlate PIP Dec-20 2 bottle...,11/23/20,06/19/21,309
4S,AADX001,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX002,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,11
4S,AADX005,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,14
4S,AADX006,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX007,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,1
4S,AADX008,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX009,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,3
4S,AADX010,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,1
4S,AADX011,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,6
4S,AADX012,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX013,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,12
4S,AADX014,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX015,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,4
4S,AADX016,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX017,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,3
4S,AADX018,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX019,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,4
4S,AADX020,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX021,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/20/21,3
4S,AADX022,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX023,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,1
4S,AADX024,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX025,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,6
4S,AADX026,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
